SAMN31655763	SRR22227271	SRX18204845	SAMN31655763	SRS15702068	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720892_r1	GSM6720892_r1	GSM6720892	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720892	Illumina HiSeq 4000	ILLUMINA	1783314800.0	8916574.0	3702	Arabidopsis thaliana	uninfected Col-0 A. thaliana leaves [WT_0dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720892: uninfected Col-0 A. thaliana leaves [WT_0dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720892: uninfected Col-0 A. thaliana leaves [WT_0dpi_a]; Arabidopsis thaliana; RNA-Seq	uninfected Col-0 A. thaliana leaves [WT_0dpi_a]	0c7f063c3f25ec88665ec68defed42b9;5e29117717ac5975ad839263491ff4e3	556700813;601248383	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/071/SRR22227271/SRR22227271_2.fastq.gz
SAMN31655757	SRR22227259	SRX18204851	SAMN31655757	SRS15702074	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720898_r1	GSM6720898_r1	GSM6720898	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720898	Illumina HiSeq 4000	ILLUMINA	929474400.0	4647372.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720898: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720898: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_b]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_b]	612194ed4eb7f7f2297f1c3f85ae44f5;67245bf94af38fb3fee36e0a0c5c573c	316445969;338037362	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/059/SRR22227259/SRR22227259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/059/SRR22227259/SRR22227259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/059/SRR22227259/SRR22227259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/059/SRR22227259/SRR22227259_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/059/SRR22227259/SRR22227259_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/059/SRR22227259/SRR22227259_2.fastq.gz
SAMN31655757	SRR22227260	SRX18204851	SAMN31655757	SRS15702074	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720898_r2	GSM6720898_r1	GSM6720898	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720898	Illumina HiSeq 4000	ILLUMINA	1082690200.0	5413451.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720898: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720898: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_b]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_b]	383105974a1a249b21d295bb7e869e91;2e951f925d86bc634352c2a76e348d4a	382119070;401162029	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/060/SRR22227260/SRR22227260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/060/SRR22227260/SRR22227260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/060/SRR22227260/SRR22227260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/060/SRR22227260/SRR22227260_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/060/SRR22227260/SRR22227260_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/060/SRR22227260/SRR22227260_2.fastq.gz
SAMN31655756	SRR22227257	SRX18204852	SAMN31655756	SRS15702075	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720899_r1	GSM6720899_r1	GSM6720899	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720899	Illumina HiSeq 4000	ILLUMINA	1028724800.0	5143624.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_c]	Illumina HiSeq 4000 sequencing; GSM6720899: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_c]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720899: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_c]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_c]	5fa089f27f7c7c8b0dcad32ed92f6a77;554ae662bc25c194ffaf1868e770e616	364285301;375425605	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/057/SRR22227257/SRR22227257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/057/SRR22227257/SRR22227257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/057/SRR22227257/SRR22227257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/057/SRR22227257/SRR22227257_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/057/SRR22227257/SRR22227257_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/057/SRR22227257/SRR22227257_2.fastq.gz
SAMN31655756	SRR22227258	SRX18204852	SAMN31655756	SRS15702075	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720899_r2	GSM6720899_r1	GSM6720899	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720899	Illumina HiSeq 4000	ILLUMINA	1569721000.0	7848605.0	3702	Arabidopsis thaliana	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_c]	Illumina HiSeq 4000 sequencing; GSM6720899: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_c]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720899: Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_c]; Arabidopsis thaliana; RNA-Seq	Col-0 A. thaliana leaves 3 days post S. sclerotiorum inoculation [WT_3dpi_c]	0845df210bff69b8fed1fddb6af4c24b;241b7b7998f7de2d02d8d78c5ee8a215	551160495;579716402	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/058/SRR22227258/SRR22227258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/058/SRR22227258/SRR22227258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/058/SRR22227258/SRR22227258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/058/SRR22227258/SRR22227258_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/058/SRR22227258/SRR22227258_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/058/SRR22227258/SRR22227258_2.fastq.gz
SAMN31655755	SRR22227255	SRX18204853	SAMN31655755	SRS15702076	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720900_r1	GSM6720900_r1	GSM6720900	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720900	Illumina HiSeq 4000	ILLUMINA	1209666000.0	6048330.0	3702	Arabidopsis thaliana	uninfected AT1703 A. thaliana leaves [1703_0dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720900: uninfected AT1703 A. thaliana leaves [1703_0dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720900: uninfected AT1703 A. thaliana leaves [1703_0dpi_a]; Arabidopsis thaliana; RNA-Seq	uninfected AT1703 A. thaliana leaves [1703_0dpi_a]	3303cf721279cc6e1e4713b04d25c8a1;01b8628f6bbf60650921024669308ad2	449244878;440397674	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/055/SRR22227255/SRR22227255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/055/SRR22227255/SRR22227255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/055/SRR22227255/SRR22227255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/055/SRR22227255/SRR22227255_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/055/SRR22227255/SRR22227255_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/055/SRR22227255/SRR22227255_2.fastq.gz
SAMN31655755	SRR22227256	SRX18204853	SAMN31655755	SRS15702076	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720900_r2	GSM6720900_r1	GSM6720900	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720900	Illumina HiSeq 4000	ILLUMINA	1877307400.0	9386537.0	3702	Arabidopsis thaliana	uninfected AT1703 A. thaliana leaves [1703_0dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720900: uninfected AT1703 A. thaliana leaves [1703_0dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720900: uninfected AT1703 A. thaliana leaves [1703_0dpi_a]; Arabidopsis thaliana; RNA-Seq	uninfected AT1703 A. thaliana leaves [1703_0dpi_a]	93d6fd667407b3329d148f55364fc7c3;2a282671a56752f62892d6e5e1ad5ece	690499001;685470583	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/056/SRR22227256/SRR22227256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/056/SRR22227256/SRR22227256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/056/SRR22227256/SRR22227256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/056/SRR22227256/SRR22227256_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/056/SRR22227256/SRR22227256_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/056/SRR22227256/SRR22227256_2.fastq.gz
SAMN31655754	SRR22227253	SRX18204854	SAMN31655754	SRS15702077	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720901_r1	GSM6720901_r1	GSM6720901	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720901	Illumina HiSeq 4000	ILLUMINA	1443073600.0	7215368.0	3702	Arabidopsis thaliana	uninfected AT1703 A. thaliana leaves [1703_0dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720901: uninfected AT1703 A. thaliana leaves [1703_0dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720901: uninfected AT1703 A. thaliana leaves [1703_0dpi_b]; Arabidopsis thaliana; RNA-Seq	uninfected AT1703 A. thaliana leaves [1703_0dpi_b]	a4b68a257a404ad9c94ca70a25fff8e3;aa28701d207d6846cd5c259b3c05e862	474167880;503289316	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/053/SRR22227253/SRR22227253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/053/SRR22227253/SRR22227253_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/053/SRR22227253/SRR22227253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/053/SRR22227253/SRR22227253_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/053/SRR22227253/SRR22227253_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/053/SRR22227253/SRR22227253_2.fastq.gz
SAMN31655754	SRR22227254	SRX18204854	SAMN31655754	SRS15702077	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720901_r2	GSM6720901_r1	GSM6720901	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720901	Illumina HiSeq 4000	ILLUMINA	1876228000.0	9381140.0	3702	Arabidopsis thaliana	uninfected AT1703 A. thaliana leaves [1703_0dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720901: uninfected AT1703 A. thaliana leaves [1703_0dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720901: uninfected AT1703 A. thaliana leaves [1703_0dpi_b]; Arabidopsis thaliana; RNA-Seq	uninfected AT1703 A. thaliana leaves [1703_0dpi_b]	240a33d7cde103a6f8b969c07c30e70b;a26430448042a135d3eb01c3acefa011	650319922;679868908	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/054/SRR22227254/SRR22227254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/054/SRR22227254/SRR22227254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/054/SRR22227254/SRR22227254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/054/SRR22227254/SRR22227254_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/054/SRR22227254/SRR22227254_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/054/SRR22227254/SRR22227254_2.fastq.gz
SAMN31655753	SRR22227251	SRX18204855	SAMN31655753	SRS15702078	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720902_r1	GSM6720902_r1	GSM6720902	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720902	Illumina HiSeq 4000	ILLUMINA	1040940200.0	5204701.0	3702	Arabidopsis thaliana	uninfected AT1703 A. thaliana leaves [1703_0dpi_c]	Illumina HiSeq 4000 sequencing; GSM6720902: uninfected AT1703 A. thaliana leaves [1703_0dpi_c]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720902: uninfected AT1703 A. thaliana leaves [1703_0dpi_c]; Arabidopsis thaliana; RNA-Seq	uninfected AT1703 A. thaliana leaves [1703_0dpi_c]	38ae958b0a7d450669ea209453c88735;30c1575ad8710633c19470ceb37696e2	329086216;338230244	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/051/SRR22227251/SRR22227251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/051/SRR22227251/SRR22227251_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/051/SRR22227251/SRR22227251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/051/SRR22227251/SRR22227251_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/051/SRR22227251/SRR22227251_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/051/SRR22227251/SRR22227251_2.fastq.gz
SAMN31655753	SRR22227252	SRX18204855	SAMN31655753	SRS15702078	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720902_r2	GSM6720902_r1	GSM6720902	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720902	Illumina HiSeq 4000	ILLUMINA	1536187000.0	7680935.0	3702	Arabidopsis thaliana	uninfected AT1703 A. thaliana leaves [1703_0dpi_c]	Illumina HiSeq 4000 sequencing; GSM6720902: uninfected AT1703 A. thaliana leaves [1703_0dpi_c]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720902: uninfected AT1703 A. thaliana leaves [1703_0dpi_c]; Arabidopsis thaliana; RNA-Seq	uninfected AT1703 A. thaliana leaves [1703_0dpi_c]	135be0cd9fd9e4f0fcab658fe708e7fb;a2b3804443a8dbb7ede9c2f02bb8e373	477151446;506476833	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/052/SRR22227252/SRR22227252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/052/SRR22227252/SRR22227252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/052/SRR22227252/SRR22227252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/052/SRR22227252/SRR22227252_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/052/SRR22227252/SRR22227252_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/052/SRR22227252/SRR22227252_2.fastq.gz
SAMN31655752	SRR22227249	SRX18204856	SAMN31655752	SRS15702079	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720903_r1	GSM6720903_r1	GSM6720903	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720903	Illumina HiSeq 4000	ILLUMINA	787748400.0	3938742.0	3702	Arabidopsis thaliana	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720903: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720903: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_a]; Arabidopsis thaliana; RNA-Seq	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_a]	c911adf409823ff9d61b75ac769ff2a1;cbb5e4ca0da45a371b64205ee584ed35	259534330;277086502	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/049/SRR22227249/SRR22227249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/049/SRR22227249/SRR22227249_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/049/SRR22227249/SRR22227249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/049/SRR22227249/SRR22227249_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/049/SRR22227249/SRR22227249_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/049/SRR22227249/SRR22227249_2.fastq.gz
SAMN31655752	SRR22227250	SRX18204856	SAMN31655752	SRS15702079	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720903_r2	GSM6720903_r1	GSM6720903	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720903	Illumina HiSeq 4000	ILLUMINA	1040360000.0	5201800.0	3702	Arabidopsis thaliana	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_a]	Illumina HiSeq 4000 sequencing; GSM6720903: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_a]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720903: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_a]; Arabidopsis thaliana; RNA-Seq	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_a]	9d0abc4afdadc774b5ee73efcfe855d9;2aafce8188efbc993525333c84292689	361874061;379841704	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/050/SRR22227250/SRR22227250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/050/SRR22227250/SRR22227250_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/050/SRR22227250/SRR22227250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/050/SRR22227250/SRR22227250_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/050/SRR22227250/SRR22227250_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/050/SRR22227250/SRR22227250_2.fastq.gz
SAMN31655751	SRR22227247	SRX18204857	SAMN31655751	SRS15702080	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720904_r1	GSM6720904_r1	GSM6720904	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720904	Illumina HiSeq 4000	ILLUMINA	1685862000.0	8429310.0	3702	Arabidopsis thaliana	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720904: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720904: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_b]; Arabidopsis thaliana; RNA-Seq	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_b]	79a881c5db08c0e5f739beb2c84ee1c9;7e5ed8c282930a52b180ec6653c2191f	543981061;554596428	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/047/SRR22227247/SRR22227247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/047/SRR22227247/SRR22227247_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/047/SRR22227247/SRR22227247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/047/SRR22227247/SRR22227247_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/047/SRR22227247/SRR22227247_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/047/SRR22227247/SRR22227247_2.fastq.gz
SAMN31655751	SRR22227248	SRX18204857	SAMN31655751	SRS15702080	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720904_r2	GSM6720904_r1	GSM6720904	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720904	Illumina HiSeq 4000	ILLUMINA	2478777200.0	12393886.0	3702	Arabidopsis thaliana	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_b]	Illumina HiSeq 4000 sequencing; GSM6720904: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_b]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720904: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_b]; Arabidopsis thaliana; RNA-Seq	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_b]	0c0d61eaf3b5345859e7c20d1029e617;43eef01faffe62ef1798177bd8d1388c	786432004;824899767	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/048/SRR22227248/SRR22227248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/048/SRR22227248/SRR22227248_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/048/SRR22227248/SRR22227248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/048/SRR22227248/SRR22227248_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/048/SRR22227248/SRR22227248_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/048/SRR22227248/SRR22227248_2.fastq.gz
SAMN31655750	SRR22227245	SRX18204858	SAMN31655750	SRS15702081	PRJNA899438	SRP406814	PRJNA9506	SRA1536323	GSM6720905_r1	GSM6720905_r1	GSM6720905	GSE217513	PAIRED	cDNA	TRANSCRIPTOMIC	RNA-Seq	GSM6720905	Illumina HiSeq 4000	ILLUMINA	794658000.0	3973290.0	3702	Arabidopsis thaliana	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_c]	Illumina HiSeq 4000 sequencing; GSM6720905: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_c]; Arabidopsis thaliana; RNA-Seq	Control of white mold (Sclerotinia sclerotiorum) through plant mediated RNA interference	Illumina HiSeq 4000 sequencing; GSM6720905: AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_c]; Arabidopsis thaliana; RNA-Seq	AT1703 A. thaliana leaves 2 days post S. sclerotiorum inoculation [1703_2dpi_c]	b1d45ea845c83e095c6102c867ee3cf9;03fd144633027e9a7e50794600f3f58a	269665678;275208147	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/045/SRR22227245/SRR22227245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/045/SRR22227245/SRR22227245_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/045/SRR22227245/SRR22227245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/045/SRR22227245/SRR22227245_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/045/SRR22227245/SRR22227245_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR222/045/SRR22227245/SRR22227245_2.fastq.gz
