SAMN13905676	SRR10953372	SRX7619896	SAMN13905676	SRS6052250	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279791_r1	GSM4279791	GSM4279791	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	4936308441.0	48874341.0	3702	Arabidopsis thaliana	control rep1	Illumina HiSeq 2500 sequencing; GSM4279791: control rep1; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279791: control rep1; Arabidopsis thaliana; RNA-Seq	control rep1	84d0cb1c30cea206a5cf85ef9f20b44b	4025669218	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/072/SRR10953372/SRR10953372.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/072/SRR10953372/SRR10953372.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/072/SRR10953372/SRR10953372.fastq.gz
SAMN13905681	SRR10953383	SRX7619900	SAMN13905681	SRS6052254	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279795_r2	GSM4279795	GSM4279795	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1502205320.0	14873320.0	3702	Arabidopsis thaliana	oviposition rep2	Illumina HiSeq 2500 sequencing; GSM4279795: oviposition rep2; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279795: oviposition rep2; Arabidopsis thaliana; RNA-Seq	oviposition rep2	fe8d4ce6ad55310b92a7699e1d60bf7c	783862813	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/083/SRR10953383/SRR10953383.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/083/SRR10953383/SRR10953383.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/083/SRR10953383/SRR10953383.fastq.gz
SAMN13905681	SRR10953384	SRX7619900	SAMN13905681	SRS6052254	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279795_r3	GSM4279795	GSM4279795	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1508813851.0	14938751.0	3702	Arabidopsis thaliana	oviposition rep2	Illumina HiSeq 2500 sequencing; GSM4279795: oviposition rep2; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279795: oviposition rep2; Arabidopsis thaliana; RNA-Seq	oviposition rep2	d11e2e1cc8df70816cda1af90f9f4b56	788802695	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/084/SRR10953384/SRR10953384.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/084/SRR10953384/SRR10953384.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/084/SRR10953384/SRR10953384.fastq.gz
SAMN13905680	SRR10953385	SRX7619901	SAMN13905680	SRS6052255	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279796_r1	GSM4279796	GSM4279796	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	5193976207.0	51425507.0	3702	Arabidopsis thaliana	oviposition rep3	Illumina HiSeq 2500 sequencing; GSM4279796: oviposition rep3; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279796: oviposition rep3; Arabidopsis thaliana; RNA-Seq	oviposition rep3	636f9643721bb0b513d369ed188972d1	2600152462	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/085/SRR10953385/SRR10953385.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/085/SRR10953385/SRR10953385.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/085/SRR10953385/SRR10953385.fastq.gz
SAMN13905679	SRR10953386	SRX7619902	SAMN13905679	SRS6052257	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279797_r1	GSM4279797	GSM4279797	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	2705301867.0	26785167.0	3702	Arabidopsis thaliana	egg extract rep1	Illumina HiSeq 2500 sequencing; GSM4279797: egg extract rep1; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279797: egg extract rep1; Arabidopsis thaliana; RNA-Seq	egg extract rep1	41490e5dbcdc866626cc3a939e96b804	1344430049	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/086/SRR10953386/SRR10953386.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/086/SRR10953386/SRR10953386.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/086/SRR10953386/SRR10953386.fastq.gz
SAMN13905679	SRR10953387	SRX7619902	SAMN13905679	SRS6052257	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279797_r2	GSM4279797	GSM4279797	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1554669063.0	15392763.0	3702	Arabidopsis thaliana	egg extract rep1	Illumina HiSeq 2500 sequencing; GSM4279797: egg extract rep1; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279797: egg extract rep1; Arabidopsis thaliana; RNA-Seq	egg extract rep1	4b588aa70a2fa0ade7b3253bf2ceb4f0	808269285	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/087/SRR10953387/SRR10953387.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/087/SRR10953387/SRR10953387.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/087/SRR10953387/SRR10953387.fastq.gz
SAMN13905679	SRR10953388	SRX7619902	SAMN13905679	SRS6052257	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279797_r3	GSM4279797	GSM4279797	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1561520095.0	15460595.0	3702	Arabidopsis thaliana	egg extract rep1	Illumina HiSeq 2500 sequencing; GSM4279797: egg extract rep1; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279797: egg extract rep1; Arabidopsis thaliana; RNA-Seq	egg extract rep1	9911461ac76eda9b0cdaa69faf4f0daa	813156543	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/088/SRR10953388/SRR10953388.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/088/SRR10953388/SRR10953388.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/088/SRR10953388/SRR10953388.fastq.gz
SAMN13905678	SRR10953389	SRX7619903	SAMN13905678	SRS6052256	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279798_r1	GSM4279798	GSM4279798	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	2371428187.0	23479487.0	3702	Arabidopsis thaliana	egg extract rep2	Illumina HiSeq 2500 sequencing; GSM4279798: egg extract rep2; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279798: egg extract rep2; Arabidopsis thaliana; RNA-Seq	egg extract rep2	99a9853a60cd24269704f8031a4b6c30	1182340021	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/089/SRR10953389/SRR10953389.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/089/SRR10953389/SRR10953389.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/089/SRR10953389/SRR10953389.fastq.gz
SAMN13905678	SRR10953390	SRX7619903	SAMN13905678	SRS6052256	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279798_r2	GSM4279798	GSM4279798	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1412154831.0	13981731.0	3702	Arabidopsis thaliana	egg extract rep2	Illumina HiSeq 2500 sequencing; GSM4279798: egg extract rep2; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279798: egg extract rep2; Arabidopsis thaliana; RNA-Seq	egg extract rep2	fcf32aee4204410f7fa9471abbac9fa0	735762037	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/090/SRR10953390/SRR10953390.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/090/SRR10953390/SRR10953390.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/090/SRR10953390/SRR10953390.fastq.gz
SAMN13905678	SRR10953391	SRX7619903	SAMN13905678	SRS6052256	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279798_r3	GSM4279798	GSM4279798	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	1418564493.0	14045193.0	3702	Arabidopsis thaliana	egg extract rep2	Illumina HiSeq 2500 sequencing; GSM4279798: egg extract rep2; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279798: egg extract rep2; Arabidopsis thaliana; RNA-Seq	egg extract rep2	f07867930519008e48e7b28b0a2b4b9b	740463660	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/091/SRR10953391/SRR10953391.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/091/SRR10953391/SRR10953391.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/091/SRR10953391/SRR10953391.fastq.gz
SAMN13905677	SRR10953392	SRX7619904	SAMN13905677	SRS6052259	PRJNA602727	SRP244078	PRJNA9506	SRA1030279	GSM4279799_r1	GSM4279799	GSM4279799	GSE144091	SINGLE	cDNA	TRANSCRIPTOMIC	RNA-Seq		Illumina HiSeq 2500	ILLUMINA	4556079902.0	45109702.0	3702	Arabidopsis thaliana	egg extract rep3	Illumina HiSeq 2500 sequencing; GSM4279799: egg extract rep3; Arabidopsis thaliana; RNA-Seq	Conserved Arabidopsis response to oviposition and crude egg extract treatment	Illumina HiSeq 2500 sequencing; GSM4279799: egg extract rep3; Arabidopsis thaliana; RNA-Seq	egg extract rep3	e05f7c28c0788596d6744f167f680114	2276862546	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/092/SRR10953392/SRR10953392.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR109/092/SRR10953392/SRR10953392.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR109/092/SRR10953392/SRR10953392.fastq.gz
