SAMD00409086	DRR322286	DRX311625	SAMD00409086	DRS206684	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322286	DRX311625	SAMD00409086	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	HD2BgmI_5d_1	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	HD2BgmI/drol1-2 #1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00409086	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00409086	HD2BgmI/drol1-2 #1 5day old seedling					
SAMD00229392	DRR322289	DRX234106	SAMD00229392	DRS152618	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322289	DRX234106	DRS152618	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-1_3d_1	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	drol1-1 3day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229392	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229392	drol1-1 3day					
SAMD00229392	DRR322292	DRX234115	SAMD00229392	DRS152618	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322292	DRX234115	DRS152618	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-1_3d_2	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	drol1-1 3day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229392	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229392	drol1-1 3day					
SAMD00229392	DRR322295	DRX234124	SAMD00229392	DRS152618	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322295	DRX234124	DRS152618	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-1_3d_3	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	drol1-1 3day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229392	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229392	drol1-1 3day					
SAMD00229393	DRR244328	DRX234125	SAMD00229393	DRS152619	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244328	DRX234125	DRS152619	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-1_5d_3	NextSeq 500	ILLUMINA	1297198600.0	15172926.0	3702	Arabidopsis thaliana	drol1-1 5day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229393	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229393	drol1-1 5day	a9bdd61c598bc5bea2e0fadded23bc93	841759909	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244328/DRR244328.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244328/DRR244328.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244328/DRR244328.fastq.gz
SAMD00229393	DRR244319	DRX234116	SAMD00229393	DRS152619	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244319	DRX234116	DRS152619	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-1_5d_2	NextSeq 500	ILLUMINA	1071624570.0	12539659.0	3702	Arabidopsis thaliana	drol1-1 5day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229393	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229393	drol1-1 5day	400b1e583910c38451c8f54937bd028f	673815302	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244319/DRR244319.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244319/DRR244319.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244319/DRR244319.fastq.gz
SAMD00229393	DRR244310	DRX234107	SAMD00229393	DRS152619	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244310	DRX234107	DRS152619	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-1_5d_1	NextSeq 500	ILLUMINA	1221431286.0	14294452.0	3702	Arabidopsis thaliana	drol1-1 5day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229393	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229393	drol1-1 5day	53fe7b366affcbbb099dcc3c0c31e7de	768378516	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244310/DRR244310.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244310/DRR244310.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244310/DRR244310.fastq.gz
SAMD00229394	DRR244320	DRX234117	SAMD00229394	DRS152620	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244320	DRX234117	DRS152620	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-1_7d_2	NextSeq 500	ILLUMINA	1473711811.0	17241059.0	3702	Arabidopsis thaliana	drol1-1 7day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229394	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229394	drol1-1 7day	7292699d61d349e1f53805e1cce76c72	980989576	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244320/DRR244320.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244320/DRR244320.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244320/DRR244320.fastq.gz
SAMD00229394	DRR244329	DRX234126	SAMD00229394	DRS152620	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244329	DRX234126	DRS152620	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-1_7d_3	NextSeq 500	ILLUMINA	1337552657.0	15647797.0	3702	Arabidopsis thaliana	drol1-1 7day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229394	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229394	drol1-1 7day	6e6a749b913751856fd404cd6af15457	880577508	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244329/DRR244329.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244329/DRR244329.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244329/DRR244329.fastq.gz
SAMD00229394	DRR244311	DRX234108	SAMD00229394	DRS152620	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244311	DRX234108	DRS152620	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-1_7d_1	NextSeq 500	ILLUMINA	709947705.0	8313417.0	3702	Arabidopsis thaliana	drol1-1 7day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229394	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229394	drol1-1 7day	67e9df54792ac55c7e314d4744a4efd8	446562504	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244311/DRR244311.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244311/DRR244311.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244311/DRR244311.fastq.gz
SAMD00229395	DRR322293	DRX234118	SAMD00229395	DRS152621	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322293	DRX234118	DRS152621	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-2_3d_2	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	drol1-2 3day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229395	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229395	drol1-2 3day					
SAMD00229395	DRR322296	DRX234127	SAMD00229395	DRS152621	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322296	DRX234127	DRS152621	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-2_3d_3	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	drol1-2 3day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229395	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229395	drol1-2 3day					
SAMD00229395	DRR322290	DRX234109	SAMD00229395	DRS152621	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR322290	DRX234109	DRS152621	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-2_3d_1	NextSeq 500	ILLUMINA			3702	Arabidopsis thaliana	drol1-2 3day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229395	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229395	drol1-2 3day					
SAMD00229396	DRR244322	DRX234119	SAMD00229396	DRS152622	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244322	DRX234119	DRS152622	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-2_5d_2	NextSeq 500	ILLUMINA	992525134.0	11638643.0	3702	Arabidopsis thaliana	drol1-2 5day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229396	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229396	drol1-2 5day	45885e88d444cdec94e75435265ea33f	606703954	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244322/DRR244322.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244322/DRR244322.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244322/DRR244322.fastq.gz
SAMD00229396	DRR244313	DRX234110	SAMD00229396	DRS152622	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244313	DRX234110	DRS152622	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-2_5d_1	NextSeq 500	ILLUMINA	757068967.0	10297993.0	3702	Arabidopsis thaliana	drol1-2 5day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229396	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229396	drol1-2 5day	b1437b27bca4107f8bd6f66e44fa1791	512921942	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244313/DRR244313.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244313/DRR244313.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244313/DRR244313.fastq.gz
SAMD00229396	DRR244331	DRX234128	SAMD00229396	DRS152622	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244331	DRX234128	DRS152622	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-2_5d_3	NextSeq 500	ILLUMINA	885706486.0	10372120.0	3702	Arabidopsis thaliana	drol1-2 5day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229396	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229396	drol1-2 5day	4f069c8ad6c17773ac394ce159a9b36d	543465856	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244331/DRR244331.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244331/DRR244331.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244331/DRR244331.fastq.gz
SAMD00229397	DRR244323	DRX234120	SAMD00229397	DRS152623	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244323	DRX234120	DRS152623	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-2_7d_2	NextSeq 500	ILLUMINA	1294170747.0	15151903.0	3702	Arabidopsis thaliana	drol1-2 7day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229397	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229397	drol1-2 7day	713233a8ebec5db7def4ee1cb2b97920	780803068	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244323/DRR244323.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244323/DRR244323.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244323/DRR244323.fastq.gz
SAMD00229397	DRR244314	DRX234111	SAMD00229397	DRS152623	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244314	DRX234111	DRS152623	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-2_7d_1	NextSeq 500	ILLUMINA	650670061.0	8850381.0	3702	Arabidopsis thaliana	drol1-2 7day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229397	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229397	drol1-2 7day	786be6a71e21aca831a586df7c2d31b7	440547871	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244314/DRR244314.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244314/DRR244314.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244314/DRR244314.fastq.gz
SAMD00229397	DRR244332	DRX234129	SAMD00229397	DRS152623	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244332	DRX234129	DRS152623	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	drol1-2_7d_3	NextSeq 500	ILLUMINA	1072894603.0	12555608.0	3702	Arabidopsis thaliana	drol1-2 7day	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229397	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00229397	drol1-2 7day	34b8ffc3559afcdfbb4c67a8a1475d36	656975702	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244332/DRR244332.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244332/DRR244332.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244332/DRR244332.fastq.gz
SAMD00244388	DRR244333	DRX234130	SAMD00244388	DRS152624	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244333	DRX234130	DRS152624	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	HD2CgmI_drol1_2_5_1	NextSeq 500	ILLUMINA	2024356236.0	23539026.0	3702	Arabidopsis thaliana	HD2CgmI/drol1-2 #5	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00244388	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00244388	HD2CgmI/drol1-2 #5	0140470c9a00006841f6388e060411cb	1161049243	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244333/DRR244333.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244333/DRR244333.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244333/DRR244333.fastq.gz
SAMD00244389	DRR244334	DRX234131	SAMD00244389	DRS152625	PRJDB9966	DRP006538	PRJNA9506	DRA010788	DRR244334	DRX234131	DRS152625	DRP006538	SINGLE	RANDOM	TRANSCRIPTOMIC	RNA-Seq	HD2CgmI_drol1_2_9_12	NextSeq 500	ILLUMINA	2022839282.0	23521387.0	3702	Arabidopsis thaliana	HD2CgmI/drol1-2 #9	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00244389	Transcriptomic analysis of drol1	NextSeq 500 sequencing; NextSeq 500 sequencing of SAMD00244389	HD2CgmI/drol1-2 #9	a50454c21b2bf702335eef95fd8a872f	1164120064	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244334/DRR244334.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR244/DRR244334/DRR244334.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR244/DRR244334/DRR244334.fastq.gz
