	0	1	2
PRJNA63667	Schrenkiella parvula strain:unknownEutrema parvulum Genome sequencing	Genomic DNA from seedlings was used for sequencing. The inbred line for sequencing originated from a salt flat in Central Anatolia, Turkey. Sequencing was done using whole genome shotgun methodology. 	"Dassanayake M et al., ""The genome of the extremophile crucifer Thellungiella parvula."", Nat Genet, 2011 Aug 7;43(9):913-8"
PRJNA600205	RNA-seq of Brassicaceae pollen and stigma samples	The mature pollen and stigma transcriptomes of different Brassicaceae species	
PRJNA922732	Arabidopsis thaliana (thale cress)Arabidopsis thaliana Transcriptome or Gene expression	Overexpressing Brassica rapa BOLTING RESISTANCE 1 (BR1) gene in Arabidopsis thaliana, to explore the molecular mechanisms underlying the effects of BR1 on delayed flowering in A. thaliana.	
PRJNA843332	Comparative analysis of nascent RNA sequencing methods in Arabidopsis	High throughput detection of nascent RNA is critical for studies of transcription and much more challenging than that of mRNA. Recently, several massively parallel nascent RNA sequencing methods were established in eukaryotic cells. Here, we systematically compared four different methods in Arabidopsis with same nuclei preparation using similar cDNA library preparation protocols. Reproducibility, sensitivity and accuracy in detecting nascent transcripts, experimental procedures, and costs were analyzed, which revealed the strengths and weaknesses for each method. We found that pNET-seq and GRO-seq performed best in detecting transcribing RNA polymerase II, CB RNA-seq is easy and costly effective, and 3'CB RNA-seq is sensitive for transcription coupled splicing. Less...	
PRJNA916974	EGR1 and EGR2 positively regulate plant ABA response by modulating  the phosphorylation of SnRK2s	ABA regulated genes in Col and egr1-1egr2-1	
PRJNA835511	Profiling dynamics of multi-omics in Arabidopsis whole seeds from Col-0 and Cvi	Genome-wide DNA methylation during Arabidopsis embryogenesis and germination are previously shown in separate sets of reseach. Although it has been known that the change of DNA methylation mainly occurs at CHH context mediated by small RNA-directed DNA methylation (RdDM) pathway during seed ripening and germination, casality of the methylation difference exhibited in natural ArabidopsisArabidopsis ecotypes has not been thoughly studied.Using comparative pairwise multi-omic dynamics in Col-0 and Cape Verde Island (Cvi)-0, we found transcriptome were relatively dynamic in stage-widse whereas DNA methylome were more ecotype-dependent. These ecotype-specific differentially methylated regions (eDMR) are significantly overlap with ecotype-specific 24-nt small RNA clusters (e24sRCs). Col-0-specific regions (Col-0-SR) where Cvi-bisulfite sequencing reads were almost absent were hypermethylated than common regions (CR), that are enriched with TE and structural variantsces (SVs). Col-0-SR Transposable element (TE) are hypermehltyated, longer in size and more pericentromeric. Hypermethylated Col-0-SR showed regional association with copy-gain SVs and e24sRC-Col compared to Cvi-0. Lastly, we show some meiotic crossover-suppressed loci are enriched in Col-SRCol-0-SR exhibiting similar association with e24sRC-Col. Less...	
PRJNA916289	pollen  of arabidopsis and rice	RNA sequencing of arabidopsis pollen and DNA sequencing of rice	
PRJNA899318	RNA-Seq	Seven-day-old Col-0 and vir-1 seedlings collected before (0 time point) and after 4 h of high light treatment were used for RNA-Seq.	
PRJNA922751	DNA damage triggers activation of immune response to viral pathogens in plants	Arabidopsis (Col-o) plant treated with water and bleomycin at 24 hr	
PRJNA883821	The SMC5/6 complex recruits the PAF1 complex to facilitate DNA double-strand break repair	DNA double-strand break (DSB) is the most toxic form of DNA damage, which threatens genome stability and is a major cause for cancers. Homologous recombination (HR) is an error-free DSB repair pathway, in which the evolutionarily conserved SMC5/6 complex (SMC5/6C) plays essential roles. The PAF1 complex (PAF1C) is also evolutionarily conserved and is well-known to regulate transcription. Here we have shown that SMC5/6 recruits PAF1C to facilitate DSB repair. In a genetic screen for DNA Damage Response Mutants (DDRMs), we found that the Arabidopsis ddrm4 mutant is hypersensitive to DSB-inducing agents. DDRM4 encodes PAF1, a core subunit of PAF1C. Interestingly, loss of the other subunits of PAF1C also result in hypersensitivity to DSB-inducing agents. Mechanistically, SMC5/6 directly interacts with PAF1 and recruits PAF1 to DSB sites. Notably, overexpression of PAF1 partially suppresses the defects of the smc6 mutant. Moreover, we found that PAF1C facilitates DSB repair by recruiting the E2 ubiquitin-conjugating enzymes UBC1 and UBC2 and the E3 ubiquitin ligases HUB1 and HUB2, which mediate the monoubiquitination of H2B at DSB sites. Our results suggest that SMC5/6-PAF1C-UBC1/2-HUB1/2 is a new axis for DSB repair, thereby revealing a new mechanism of SMC5/6 and uncovering a new function of PAF1C. Less...	
PRJNA885296	RNA-seq data for Arabidopsis thaliana flower	The flower samples from wild-type and T3 generation overexpression lines, based on flower development processes, we determined three sampling time points from flower buttress arises stage to blossom stage, in total, 18 samples (two different genotypes, three time points, and three biological replicates) for RNA-seq, it can be mainly used to study genes related to flower development.	
PRJNA910862	esDNA functions	esDNA functions via the jasmonate signaling pathway	
PRJNA904293	Elucidating the unknown transcriptional responses and PHR1 mediated biotic and abiotic stress tolerance during phosphorus-limitation	Phosphorus (P) limitation in the majority of world soils is a major constraint for plant growth and crop productivity. RNA sequencing was used to discover novel P-responsive gene transcripts (PRGT) in leaves and roots of Arabidopsis. Hisat StringTie and Cufflinks TopHat transcript assembler were used to analyze reads and identify 1,074 PRGTs with a >5-fold altered abundance during P-limitation. Interestingly, 60% of these transcripts were not previously reported. Among the novel PRGT, 106 were from unannotated genes, and some were among the most P-responsive, including At2g36727 which encodes a novel microRNA. Annotated novel PRGTs encode for transcription factors, microRNAs, small signaling peptides, long non-coding RNAs, defense-related proteins, and transporters, along with proteins involved in many biological processes. We identified several genes that undergo alternative splicing during P-limitation, including a novel miR399 resistant splice variant of PHOSPHATE2 (PHO2.2). Several novel P-responsive genes were regulated by PHOSPHATE STARVATION RESPONSE1 (PHR1), PHR1-LIKE 1 (PHL1) and PHO2. We discovered that P-limited plants show increased resistance to pathogens and drought stress mediated by PHR1-PHL1. Identification of novel P-responsive transcripts and the discovery of the influence of P-limitation on biotic and abiotic stress adds a significant component to our understanding of plant P-signaling. Less...	
PRJNA774347	The L1p/L10e-type protein DIP1 recruits the long noncoding RNA DANA1 and the PEAT complex to trigger histone deacetylation of drought responsive genes in Arabidopsis (thale cress)	"DANA1 is a positive regulator of drought response and that DANA1 works jointly with the novel chromatin-related factor DIP1 to modulate the epigenetic reprogramming of the plant transcriptome during the response to drought.
Overall design: Total RNA was isolated from 10-day old wild type Col-0 and  dana1 mutant, in triplicate, using Illumina NovaSeq 6000. Less..."	
PRJNA852208	Genome editing in plants using the compact editor CasΦ	"CRISPR-Cas systems have been developed as important tools for plant genome engineering. Here, we demonstrate that the hypercompact CasΦ nuclease is able to generate stably inherited gene edits in Arabidopsis, and that CasΦ guide RNAs can be expressed with either the Pol-III U6 promoter or a Pol-II promoter together with ribozyme mediated RNA processing. Using the Arabidopsis fwa epiallele we show that CasΦ displays higher editing efficiency when the target locus is not DNA methylated, suggesting that CasΦ is sensitive to chromatin environment. Importantly, two CasΦ protein variants, vCasΦ and nCasΦ, both showed much higher editing efficiency relative to the wildtype CasΦ enzyme, and yielded more offspring plants with inherited edits. Extensive genomic analysis of gene edited plants showed no off-target editing, suggesting that CasΦ is highly specific. The hypercompact size, flexible PAM and wide range of working temperatures make CasΦ an excellent addition to existing plant genome editing systems.
Overall design: This dataset includes amplicon sequencing data to evaluate the editing efficiencies of target loci by CasΦ, and whole genome sequencing to assess the off-target editing level by CasΦ in plants. Less..."	
PRJNA874688	Single-cell RNA-seq of brassinosteroid response in Arabidopsis roots (thale cress)	"We report both raw and processed scRNA-seq data profiling brassinosteroid response and related mutants in Arabidopsis roots
Overall design: scRNA-seq of 4 wild-type and 20 brassinosteroids-related mutants or treatments. The supplemtary file (BR_time_course.rds.gz) contains WT sample (sc_1) from our previously published work (GSE152766, Sample GSM4625993). Less..."	
PRJNA877932	FIONA1-mediated methylation of the 3'UTR of FLC affects FLC transcript levels and flowering in Arabidopsis (thale cress)	"Characterizing the FIONA1 protein in Arabidopsis revealing its methyl transferase activity influencing level of FLC transcripts plus the pleiotropic phenotype obsersed in fio mutants
Overall design: Comparative Nanopore direct RNA sequencing elucidating the m6A methylation landscape in Arabidopsis WT and fio1-1 and fio1-5 mutant seedlings."	"Sun B et al., ""FIONA1-mediated methylation of the 3'UTR of FLC affects FLC transcript levels and flowering in Arabidopsis."", PLoS Genet, 2022 Sep;18(9):e1010386"
PRJNA879695	Activation of a singlet oxygen signaling pathway by competition cues in Arabidopsis thaliana (thale cress)	"The goal of this work was to investigate oxidative stress responses of Arabidopsis to low red to far-red ratios of light as a signal of competition using a biological weedy and an artificial source of far-red light. More specifically, elucidation of the signaling role of singlet oxygen in Arabidopsis under low red-to far-red light environments was the major objective of this work.
Oxidative stress responses of Arabidopsis to low red (R) to far-red (FR) signals (R:FR ≈ 0.3), generated by a biological weedy and an artificial source of FR light, were compared with a weed-free control (R:FR ≈1.4). In the low R:FR treatments, induction of the shade avoidance responses coincided with increased singlet oxygen (1O2) production and decreased level of superoxide and superoxide dismutase activity. Although the increase of 1O2 was not due to protochlorophyllide accumulation and did not result in cell death, treatments with the 1O2 generator 5-aminolevulinic acid increased sensitivity to cell death. Transcriptome responses minimally resembled those reported in four Arabidopsis 1O2 generating systems such that only few genes (6 out of 1931) were consistently up-regulated supporting the specificity of 1O2 signaling. Moreover, suppressors of jasmonate accumulation, including the 1O2-responsive amidohydrolase ILL6, the sulfotransferase ST2a, which are involved in prioritization of elongation growth versus defense were consistently up-regulated. Our data support a model in which photoreceptors connect low R:FR light cues to the JA signaling pathway. Repression of bioactive JAs via the amidohydrolase ILL6, and sulfotransferase ST2a may promote the shade avoidance (versus defense) and 1O2 acclimation (versus cell death) responses to competition cues.
Overall design: Total RNA was extracted from 4-week-old rosette leaves of wild type Arabidopsis thaliana (ecotype Columbia). In total, 9 samples consisting of 3 treatments with 3 replicates, each consisting of a pool of leaves from 3 individual plants, were analyzed. The 3 treatments consisted of a weed-free control (high red to far-red light ratio), a biological low red to far-red light ratio using a surrogate weed, and an artificial low red to far-red light ratio using far-red LEDs. The red to far-red ratios (R:FR) at the plant level was approximately 1.4, 0.3 and 0.3 in the control, biological low R:FR, and artificial low R:FR treatments, respectively. In all treatments, plastic tubes were placed in the center of the experimental pots and plastic cups containing the Arabidopsis plants were inserted in the central tubes. This experimental set up prevented direct root contact between the surrogate weed and Arabidopsis plants. In the control treatment, Arabidopsis plants were grown at an R:FR ≈ 1.4 for 4 weeks, whereas plants in the biological and artificial low R:FR treatments were grown at an R:FR ≈ 1.4 for 3 weeks and transferred to the respective low R:FR light treatments (R:FR ≈ 0.3) for 1 week. Less..."	
PRJNA881599	A simple but robust approach for isolating chromatin associated RNAs in Arabidopsis thaliana (thale cress)	"In the transcription process, Pol II produces the nascent RNA which associates with chromatin. To acquire co-transcriptional RNA is easy to understand the RNA transcription status. We use a simple and effective way to separate the intact cell nucleus and wash the nucleoplasm, then acquire the chromatin component. With the help of Illumina RNA sequencing, we analyze the nascent RNA extracted from chromatin component in whole genome. We demonstrate the method descripted in this paper can be suitable for analyze co-transcriptional splicing ratio effectively. Interestingly, we find the first intron globally has lower co-transcriptional splicing efficiency. In brief, our method can be used for analyze the nascent RNA in elongating process and the fully transcribed RNA with poly-A tail but not yet released from chromatin.
Overall design: We describe a step-by-step protocol for isolating chromatin-bound RNAs from the pool of cellular RNAs in Arabidopsis thaliana. With this protocal we also can separate the elongating RNAs and full-length polyA RNAs from the chromatin-bound RNAs. Less..."	"Zhang Q et al., ""A simple and robust method for isolating and analyzing chromatin-bound RNAs in Arabidopsis."", Plant Methods, 2022 Dec 12;18(1):135"
PRJNA881937	Single-cell profiling of complex plant responses to Pseudomonas syringae infection [bulk RNA-seq] (thale cress)	"Plant response to pathogen infection varies within a leaf, yet this heterogeneity is not well resolved. We exposed Arabidopsis to Pseudomonas syringae or mock treatment and profiled the transcriptomes of 11,000 individual cells using single-cell RNA sequencing. Integrative analysis of cell populations from Pseudomonas and mock inoculated leaves identified five distinct pathogen responsive cell clusters exhibiting transcriptional responses ranging from immunity to susceptibility. Pseudotime analyses through pathogen infection revealed a continuum of disease progression from an immune to susceptible state. Confocal imaging of promoter reporter lines for pathogen responsive cell clusters visualized immune activated cell clusters surrounding substomatal cavities colonized by bacteria, suggesting immune clusters are sites of early pathogen invasion. Susceptibility cell clusters exhibited more general localization and were highly induced at later stages of infection. Overall, our work uncovers cellular heterogeneity within an infected leaf and provides unique insight into plant differential response to infection at a single-cell level.
Overall design: 4-week old Arabidopsis thaliana leaves syringe-infiltrated with Pseudomonas syringae pv. tomato DC3000 or a mock treatment for 24 hours. After treatment, cells (Protoplasts) were isolated from leaf tissue using a tape-sandwich method to enrich for the mesophyll layer. In parallel, whole leaf tissue was also isolated. RNA was then extracted from protoplast preparations and whole leaf tissue, and processed for RNA sequencing. Three biological replicates for mock- and DC3000-treated whole leaves were prepared, and one replicate of protoplasts derived from mock- and DC3000-treated leaves were also processed. Less..."	
PRJNA881949	Single-cell profiling of complex plant responses to Pseudomonas syringae infection [scRNA-seq] (thale cress)	"Plant response to pathogen infection varies within a leaf, yet this heterogeneity is not well resolved. We exposed Arabidopsis to Pseudomonas syringae or mock treatment and profiled the transcriptomes of 11,000 individual cells using single-cell RNA sequencing. Integrative analysis of cell populations from Pseudomonas and mock inoculated leaves identified five distinct pathogen responsive cell clusters exhibiting transcriptional responses ranging from immunity to susceptibility. Pseudotime analyses through pathogen infection revealed a continuum of disease progression from an immune to susceptible state. Confocal imaging of promoter reporter lines for pathogen responsive cell clusters visualized immune activated cell clusters surrounding substomatal cavities colonized by bacteria, suggesting immune clusters are sites of early pathogen invasion. Susceptibility cell clusters exhibited more general localization and were highly induced at later stages of infection. Overall, our work uncovers cellular heterogeneity within an infected leaf and provides unique insight into plant differential response to infection at a single-cell level.
Overall design: 4-week old Arabidopsis thaliana leaves syringe-infiltrated with Pseudomonas syringae pv. tomato DC3000 or a mock treatment for 24 hours. After treatment, cells were isolated from leaf tissue using a tape-sandwich method to enrich for the mesophyll layer, and cells were subjected to single-cell transcriptomics profiling using the Chromium technology (10x Genomics, version 3), targeting 10,000 cells per library. Less..."	
PRJNA883212	Condensation of SEUSS promotes hyperosmotic stress tolerance in Arabidopsis (thale cress)	"Osmotic stress imposed by drought and high salinity inhibits plant growth and crop yield. However, our current knowledge on the mechanism by which plants sense osmotic stress is still limited. Here, we identify the transcriptional regulator, SEUSS (SEU) as a key player during hyperosmotic stress in Arabidopsis. SEU rapidly coalesces into liquid-like nuclear condensates when extracellular osmolarity increases. The intrinsically disordered region 1 (IDR1) of SEU directly senses cell volume decrease resulted from osmotic stress. IDR1 undergoes conformational changes to adopt more compact states upon the increase of macromolecular crowding both in vitro and in cells, and two predicted α-helical peptides are required. SEU condensation is indispensable for osmotic stress tolerance and loss of SEU dramatically compromises the expression of stress-tolerance genes. Our work uncovers a critical role of biomolecular condensates in cellular stress perception and response, and expands our understanding of the osmotic stress pathway.
Overall design: Transcriptome profiles of Col-0 and seu-6 mutant plants with or without NaCl treatment and Sorbitol treatment using RNA-seq (two biological replicates) Less..."	"Wang B et al., ""Condensation of SEUSS promotes hyperosmotic stress tolerance in Arabidopsis."", Nat Chem Biol, 2022 Dec;18(12):1361-1369"
PRJNA835893	Single-nucleus RNA-seq reveals that MBD5, MBD6, and SILENZIO maintain silencing in the vegetative cell of developing pollen (thale cress)	"Silencing of transposable elements (TEs) drove the evolution of numerous redundant mechanisms of transcriptional regulation. Arabidopsis MBD5, MBD6, and SILENZIO act as TE repressors downstream of DNA methylation. Here we show via single-nucleus RNA-seq of developing male gametophytes that these repressors are critical for TE silencing in the pollen vegetative cell, which undergoes epigenetic reprogramming causing chromatin decompaction to support fertilization by sperm cells. Instead, other silencing mutants (met1, ddm1, mom1, morc) show loss of silencing in all pollen nucleus types and somatic cells. We found that TEs repressed by MBD5/6 gain accessibility in wild-type vegetative nuclei despite remaining silent, suggesting that loss of DNA compaction makes them sensitive to loss of MBD5/6. Consistently, crossing mbd5/6 to histone 1 mutants, which have decondensed chromatin in leaves, reveals derepression of MBD5/6-dependent TEs in leaves. MBD5/6 and SILENZIO thus act as a silencing system especially important when chromatin compaction is compromised.
Overall design: This study includes bulk RNA-seq data and single nucleus RNA-seq of developing male gametophytes generated with the 10X platform Less..."	"Ichino L et al., ""Single-nucleus RNA-seq reveals that MBD5, MBD6, and SILENZIO maintain silencing in the vegetative cell of developing pollen."", Cell Rep, 2022 Nov 22;41(8):111699"
PRJNA885076	Transcriptome profiling of Arabidopsis seedlings upon hyperosmotic stress (thale cress)	"We examined the possible effect of hyperosmotic stress on Arabidopsis transcriptome using mRNA-seq. We found that the transcriptome is reprogrammed in response to hyperosmotic stress, in a DCP5-dependent.
Overall design: High-throughput sequencing of mRNA from Col-0 and dcp5-1 Arabidopsis seedlings with 0 min or 60 min of hyperosmotic stress mediated by 150 mM NaCl Less..."	
PRJNA885090	Plants grown in Kennedy Fixation Tubes (KFT) (thale cress)	"A simulated human-tended flight experiment was conducted by growing Arabidopsis thaliana plants on a phytagel matrix-encased coupon which was inserted into a Kennedy Fixation Tube (KFT) preloaded with RNAlater. RNAseq analysis conducted on these plants showed the ability to capture gravitational responses with high reproducibility. To mimick a suborbital flight profile, plants in KFTs were subjected to clinorotation and its transcriptome was compared to various quiescent controls.
Overall design: Arabidopsis thaliana (Col-0) was grown in Kennedy Fixation Tubes Less..."	
PRJNA886097	Molecular mechanism of Arabidopsis thaliana seedlings in response to phytotoxicity of yttrium oxide nanoparticles (thale cress)	"Due to the wide application of rare earth oxides nanoparticles in different fields, they will inevitably be released into the environment, and their potential toxicity and ecological risks in the environment have become a concern of people. Yttrium oxide nanoparticles are important members of rare earth oxides nanoparticles. The molecular mechanism of its influence on plant growth and development and plant response to them is unclear. In this study, we found that yttrium oxide nanoparticles above 2 mM significantly inhibited the growth of Arabidopsis seedlings. Using the Arabidopsis marker lines reflecting auxin signal, it was found that the treatment of yttrium oxide nanoparticles led to the disorder of auxin signal in root cells: the auxin signal in quiescent center cells and columella stem cells decreased; while the auxin signal in the stele cells was enhanced. In addition, trypan blue staining showed that yttrium oxide nanoparticles caused the death of root cells. Transcriptome sequencing analysis showed that yttrium oxide nanoparticles specifically inhibited the expression of lignin synthesis related genes, activated mitogen-activated protein kinase (MAPK) signaling pathway, and enhanced ethylene and ABA signaling pathways in plants. This study revealed the phytotoxicity of yttrium oxide nanoparticles at the molecular level, and provided a new perspective at the molecular level for plants to respond to rare earth oxide stress.
Overall design: Comparative gene expression profiling analysis of RNA-seq data for Arabidopsis seedlings treated with yttrium oxide nanoparticles and the control group. Less..."	"Wang J et al., ""Phytotoxicity and the molecular response in yttrium oxide nanoparticle-treated Arabidopsis thaliana seedlings."", Protoplasma, 2022 Nov 29;"
PRJNA859508	Peptide ligand-mediated trade-off between plant growth and stress response (thale cress)	"The decision of whether to grow or to divert energy to stress response is a key physiological trade-off for plants seeking to survive under fluctuating environments. However, the cell-to-cell communication underlying this decision is largely unknown. Here we show that three orphan leucine-rich repeat receptor kinases (LRR-RKs) act as direct ligand-perceiving receptors for PSY-family peptides and play a key role in local switching between two opposing pathways. In contrast to the known LRR-RKs which activate signaling upon ligand binding, PSY receptor (PSYR) signaling, which intrinsically induces a stress response, usually is repressed by ligands to permit growth. Conversely, PSYRs activate the expression of various genes encoding stress response transcription factors upon depletion of the ligands. Loss of PSYRs resulted in defects in the plant’s tolerance to both biotic and abiotic stresses. This ligand-deprivation-dependent activation system enables plants to exert exquisitely tuned regulation of stress responses in the tissues proximal to metabolically dysfunctional damaged sites where ligand production is impaired.
Overall design: Genome-wide transcriptome analysis in roots of tpst-1 mutant, tpst/psyr1,2,3 quadruple mutant and PSY5 treated tpst-1 mutant. Transcriptome analysis in shoots of WT, tpst-1 mutant, psyr1,2,3 triple mutant, tpst/psyr1,2,3 quadruple mutant and PSY5 treated tpst-1 mutant. Less..."	"Ogawa-Ohnishi M et al., ""Peptide ligand-mediated trade-off between plant growth and stress response."", Science, 2022 Oct 14;378(6616):175-180"
PRJNA897813	Functions of four members of PHR1 family in plant responses to phosphate starvation (thale cress)	"We analyzed the RNA expression profiles of the mutants of four memebrs of Arabidopsis PHR1 family to understand their roles in regulating plant responses to phosphate starvation
Overall design: Total RNAs were extracted from the roots of 8-day-old seedlings grown under Pi sufficiency and deficiency. All RNA samples were subjected to sequencing using next generation sequencing technology. Three biological replicates were used for all genotypes. Less..."	
PRJNA898332	Loss of Linker Histone H1 in the Maternal Genome Influences DEMETER-Mediated Demethylation and Affects the Endosperm DNA Methylation Landscape (RNA-Seq) (thale cress)	"TheArabidopsisDEMETER (DME) DNA glycosylase demethylates the central cell genome prior to fertilization. This epigenetic reconfiguration of the female gamete companion cell establishes gene imprinting in the endosperm and is essential for seed viability.  DME demethylates small and genic-flanking transposons as well as intergenic and heterochromatin sequences, but how DME is recruited to these target loci remains unknown. H1.2 was identified as a DME-interacting protein in a yeast two-hybrid screen, and maternal genome H1 loss affects DNA methylation and expression of selected imprinted genes in the endosperm. Yet, the extent to which how H1 influences DME demethylation and gene imprinting in theArabidopsisendosperm has not been investigated. Here, we showed that unlike in the vegetative cell, both canonical histone H1 variants are present in the central cell. Our endosperm methylome analysis revealed that without the maternal linker histones, DME-mediated demethylation is facilitated, particularly in the heterochromatin regions, indicating that H1-containing nucleosomes are barriers for DME demethylation. Loss of H1 in the maternal genome has a very limited effect on gene transcription or gene imprinting regulation in the endosperm; however, it variably influences euchromatin TE methylation and causes a slight hypermethylation and a reduced expression in selected imprinted genes. We conclude that loss of maternal H1 indirectly influences DME-mediated demethylation and endosperm DNA methylation landscape but does not appear to affect endosperm gene transcription and overall imprinting regulation.
Overall design: RNA sequencing using wt (Col x Ler) and h1-hybrid (h1 triple x Ler) F1 embryo and endosperm (3 bio replicates for each genotype and tissue) were performed to examine the effect of maternal H1 loss on embryo and endosperm transcriptomes. Less..."	"Han Q et al., ""Loss of linker histone H1 in the maternal genome influences DEMETER-mediated demethylation and affects the endosperm DNA methylation landscape."", Front Plant Sci, 2022;13:1070397"
